Meta Data,Time Series (Daily)
,"{'1. open': '449.5200', '2. high': '450.0000', '3. low': '426.5000', '4. close': '431.6600', '5. volume': '82666821'}"
,"{'1. open': '465.1600', '2. high': '465.3299', '3. low': '451.0200', '4. close': '454.1300', '5. volume': '76651210'}"
,"{'1. open': '435.9000', '2. high': '462.7800', '3. low': '435.1400', '4. close': '462.2800', '5. volume': '59551750'}"
,"{'1. open': '431.0000', '2. high': '434.5100', '3. low': '415.4112', '4. close': '430.6000', '5. volume': '72698055'}"
,"{'1. open': '425.5050', '2. high': '447.0800', '3. low': '417.6400', '4. close': '421.0600', '5. volume': '132216176'}"
,"{'1. open': '451.8800', '2. high': '456.3600', '3. low': '420.0200', '4. close': '436.1700', '5. volume': '118566146'}"
,"{'1. open': '466.4950', '2. high': '488.5399', '3. low': '427.0100', '4. close': '440.1300', '5. volume': '149340788'}"
,"{'1. open': '475.9000', '2. high': '483.9900', '3. low': '457.5101', '4. close': '479.8600', '5. volume': '131222978'}"
,"{'1. open': '441.0900', '2. high': '463.1900', '3. low': '436.1500', '4. close': '463.0200', '5. volume': '114083811'}"
,"{'1. open': '420.0000', '2. high': '436.3000', '3. low': '415.7100', '4. close': '436.2300', '5. volume': '89000158'}"
,"{'1. open': '424.8400', '2. high': '429.3000', '3. low': '415.0000', '4. close': '418.1000', '5. volume': '87752225'}"
,"{'1. open': '409.7000', '2. high': '424.8800', '3. low': '402.3800', '4. close': '424.7700', '5. volume': '104287559'}"
,"{'1. open': '392.6800', '2. high': '409.7300', '3. low': '390.8500', '4. close': '400.9900', '5. volume': '97563578'}"
,"{'1. open': '397.6100', '2. high': '404.8000', '3. low': '378.0100', '4. close': '389.7900', '5. volume': '96359173'}"
,"{'1. open': '377.4200', '2. high': '389.4900', '3. low': '370.8000', '4. close': '389.2200', '5. volume': '81455834'}"
,"{'1. open': '359.8700', '2. high': '375.4300', '3. low': '359.5000', '4. close': '369.4900', '5. volume': '81403569'}"
,"{'1. open': '353.0000', '2. high': '358.1000', '3. low': '348.6000', '4. close': '357.9300', '5. volume': '50810874'}"
,"{'1. open': '351.8000', '2. high': '355.6900', '3. low': '348.2000', '4. close': '351.4200', '5. volume': '58267196'}"
,"{'1. open': '352.3800', '2. high': '360.0000', '3. low': '351.1501', '4. close': '357.0900', '5. volume': '77986478'}"
,"{'1. open': '336.0800', '2. high': '345.4500', '3. low': '334.6500', '4. close': '345.1600', '5. volume': '37167621'}"
,"{'1. open': '341.8000', '2. high': '342.5500', '3. low': '326.5900', '4. close': '332.8900', '5. volume': '57896439'}"
,"{'1. open': '341.0000', '2. high': '346.9600', '3. low': '335.6600', '4. close': '338.2300', '5. volume': '62295857'}"
,"{'1. open': '360.1400', '2. high': '361.9300', '3. low': '338.2000', '4. close': '338.5900', '5. volume': '95890899'}"
,"{'1. open': '341.0850', '2. high': '361.5300', '3. low': '337.7000', '4. close': '352.5600', '5. volume': '89140722'}"
,"{'1. open': '343.8100', '2. high': '347.9899', '3. low': '335.2800', '4. close': '339.6400', '5. volume': '58011719'}"
,"{'1. open': '345.0000', '2. high': '346.5999', '3. low': '334.3000', '4. close': '342.0300', '5. volume': '66340650'}"
,"{'1. open': '335.7600', '2. high': '347.3799', '3. low': '332.7500', '4. close': '346.0000', '5. volume': '88852452'}"
,"{'1. open': '340.7300', '2. high': '348.5499', '3. low': '330.0100', '4. close': '338.7400', '5. volume': '126547455'}"
,"{'1. open': '310.5700', '2. high': '324.6799', '3. low': '309.2200', '4. close': '320.7200', '5. volume': '114440286'}"
,"{'1. open': '327.6900', '2. high': '329.9800', '3. low': '310.3700', '4. close': '311.1800', '5. volume': '120726109'}"
,"{'1. open': '335.8500', '2. high': '344.5999', '3. low': '322.5000', '4. close': '330.2400', '5. volume': '125405599'}"
,"{'1. open': '342.7400', '2. high': '345.8400', '3. low': '323.3100', '4. close': '328.4900', '5. volume': '155726016'}"
,"{'1. open': '346.3000', '2. high': '358.6400', '3. low': '336.0000', '4. close': '350.0000', '5. volume': '210521625'}"
,"{'1. open': '299.1400', '2. high': '328.7100', '3. low': '297.6600', '4. close': '321.2200', '5. volume': '204782763'}"
,"{'1. open': '288.8900', '2. high': '299.7500', '3. low': '285.5200', '4. close': '296.9100', '5. volume': '117309232'}"
,"{'1. open': '284.6700', '2. high': '289.5900', '3. low': '275.6200', '4. close': '288.5300', '5. volume': '165228710'}"
,"{'1. open': '247.3400', '2. high': '255.2799', '3. low': '246.2101', '4. close': '251.4400', '5. volume': '69282505'}"
,"{'1. open': '244.5600', '2. high': '248.9000', '3. low': '238.8800', '4. close': '242.8400', '5. volume': '68802354'}"
